order_dow,order_hour_of_day,order_volume,day_name
0,0,3936,Sunday
0,1,2398,Sunday
0,2,1409,Sunday
0,3,963,Sunday
0,4,813,Sunday
0,5,1168,Sunday
0,6,3329,Sunday
0,7,12410,Sunday
0,8,28108,Sunday
0,9,40798,Sunday
0,10,48465,Sunday
0,11,51035,Sunday
0,12,51443,Sunday
0,13,53849,Sunday
0,14,54552,Sunday
0,15,53954,Sunday
0,16,49463,Sunday
0,17,39753,Sunday
0,18,29572,Sunday
0,19,22654,Sunday
0,20,18277,Sunday
0,21,14423,Sunday
0,22,11246,Sunday
0,23,6887,Sunday
1,0,3674,Monday
1,1,1830,Monday
1,2,1105,Monday
1,3,748,Monday
1,4,809,Monday
1,5,1607,Monday
1,6,5370,Monday
1,7,16571,Monday
1,8,34116,Monday
1,9,51908,Monday
1,10,55671,Monday
1,11,51584,Monday
1,12,47079,Monday
1,13,46728,Monday
1,14,46764,Monday
1,15,46403,Monday
1,16,44761,Monday
1,17,36792,Monday
1,18,28977,Monday
1,19,22145,Monday
1,20,16281,Monday
1,21,11943,Monday
1,22,8992,Monday
1,23,5620,Monday
2,0,3059,Tuesday
2,1,1572,Tuesday
2,2,943,Tuesday
2,3,719,Tuesday
2,4,744,Tuesday
2,5,1399,Tuesday
2,6,4758,Tuesday
2,7,13245,Tuesday
2,8,24635,Tuesday
2,9,36314,Tuesday
2,10,39230,Tuesday
2,11,38128,Tuesday
2,12,35780,Tuesday
2,13,36650,Tuesday
2,14,37173,Tuesday
2,15,37469,Tuesday
2,16,37541,Tuesday
2,17,32151,Tuesday
2,18,26470,Tuesday
2,19,20084,Tuesday
2,20,15039,Tuesday
2,21,10653,Tuesday
2,22,8146,Tuesday
2,23,5358,Tuesday
3,0,2952,Wednesday
3,1,1495,Wednesday
3,2,953,Wednesday
3,3,654,Wednesday
3,4,719,Wednesday
3,5,1355,Wednesday
3,6,4562,Wednesday
3,7,12396,Wednesday
3,8,22553,Wednesday
3,9,32312,Wednesday
3,10,36040,Wednesday
3,11,35215,Wednesday
3,12,33455,Wednesday
3,13,34161,Wednesday
3,14,34773,Wednesday
3,15,35990,Wednesday
3,16,35273,Wednesday
3,17,30368,Wednesday
3,18,25001,Wednesday
3,19,19249,Wednesday
3,20,13795,Wednesday
3,21,10278,Wednesday
3,22,8242,Wednesday
3,23,5181,Wednesday
4,0,2642,Thursday
4,1,1512,Thursday
4,2,899,Thursday
4,3,686,Thursday
4,4,730,Thursday
4,5,1330,Thursday
4,6,4401,Thursday
4,7,12493,Thursday
4,8,21814,Thursday
4,9,31409,Thursday
4,10,35034,Thursday
4,11,33857,Thursday
4,12,32249,Thursday
4,13,32751,Thursday
4,14,33625,Thursday
4,15,34222,Thursday
4,16,34093,Thursday
4,17,29378,Thursday
4,18,24425,Thursday
4,19,19350,Thursday
4,20,14186,Thursday
4,21,10796,Thursday
4,22,8812,Thursday
4,23,5645,Thursday
5,0,3189,Friday
5,1,1672,Friday
5,2,1016,Friday
5,3,841,Friday
5,4,910,Friday
5,5,1574,Friday
5,6,4866,Friday
5,7,13434,Friday
5,8,24015,Friday
5,9,34232,Friday
5,10,38313,Friday
5,11,37915,Friday
5,12,35714,Friday
5,13,36296,Friday
5,14,37407,Friday
5,15,37508,Friday
5,16,35860,Friday
5,17,29955,Friday
5,18,24310,Friday
5,19,18741,Friday
5,20,13322,Friday
5,21,9515,Friday
5,22,7498,Friday
5,23,5265,Friday
6,0,3306,Saturday
6,1,1919,Saturday
6,2,1214,Saturday
6,3,863,Saturday
6,4,802,Saturday
6,5,1136,Saturday
6,6,3243,Saturday
6,7,11319,Saturday
6,8,22960,Saturday
6,9,30839,Saturday
6,10,35665,Saturday
6,11,36994,Saturday
6,12,37121,Saturday
6,13,37564,Saturday
6,14,38748,Saturday
6,15,38093,Saturday
6,16,35562,Saturday
6,17,30398,Saturday
6,18,24157,Saturday
6,19,18346,Saturday
6,20,13392,Saturday
6,21,10501,Saturday
6,22,8532,Saturday
6,23,6087,Saturday
