user_id,cluster,segment,total_orders,avg_order_size,reorder_rate,avg_days_between_orders,unique_departments,product_diversity,avg_cart_position
189033,0,Occasional Buyers,8,9.5,0.3026,12.29,14,0.6974,6.67
113007,0,Occasional Buyers,3,2.0,0.0,15.0,4,1.0,1.67
40369,1,Loyal Regulars,16,12.75,0.5539,11.87,12,0.4461,7.48
2153,1,Loyal Regulars,17,4.94,0.5,8.88,11,0.5,3.64
194850,1,Loyal Regulars,64,9.31,0.755,5.63,17,0.245,5.67
30124,0,Occasional Buyers,4,11.5,0.1087,4.67,13,0.8913,11.26
118698,0,Occasional Buyers,9,5.22,0.5532,22.75,8,0.4468,3.81
130039,0,Occasional Buyers,6,3.67,0.5455,30.0,6,0.4545,3.0
151683,0,Occasional Buyers,7,11.71,0.2683,24.33,16,0.7317,7.18
139707,0,Occasional Buyers,10,3.0,0.7,23.44,5,0.3,2.6
187888,0,Occasional Buyers,5,12.2,0.1967,21.0,13,0.8033,6.72
134789,0,Occasional Buyers,14,13.0,0.4176,19.31,13,0.5824,8.87
148324,0,Occasional Buyers,8,12.75,0.5882,24.71,10,0.4118,7.59
203190,0,Occasional Buyers,4,12.0,0.1458,14.0,13,0.8542,7.15
105969,0,Occasional Buyers,5,10.2,0.1373,24.25,11,0.8627,6.51
35942,0,Occasional Buyers,5,6.8,0.0294,22.25,9,0.9706,4.18
204656,0,Occasional Buyers,15,3.2,0.5,12.57,9,0.5,2.5
105795,0,Occasional Buyers,4,6.75,0.1111,22.0,7,0.8889,6.52
149179,0,Occasional Buyers,10,5.8,0.3793,23.89,11,0.6207,4.16
58648,0,Occasional Buyers,11,4.55,0.38,11.1,13,0.62,3.22
206054,1,Loyal Regulars,31,5.03,0.6731,11.9,14,0.3269,3.74
62267,0,Occasional Buyers,9,9.78,0.3182,6.12,11,0.6818,7.64
134009,0,Occasional Buyers,7,7.86,0.4182,24.67,7,0.5818,5.78
152083,1,Loyal Regulars,85,6.53,0.8234,4.24,11,0.1766,4.35
55419,1,Loyal Regulars,41,12.2,0.808,8.77,10,0.192,7.11
74630,0,Occasional Buyers,4,7.0,0.2857,30.0,4,0.7143,5.21
65387,1,Loyal Regulars,19,7.0,0.6767,14.22,11,0.3233,4.29
21414,0,Occasional Buyers,4,4.75,0.4737,10.0,4,0.5263,3.79
