antecedent,consequent,support,confidence,lift,co_occurrence,antecedent_name,consequent_name
26209,31717,0.005464,0.1249,5.7758,17565,Limes,Organic Cilantro
31717,26209,0.005464,0.2526,5.7758,17565,Organic Cilantro,Limes
22935,24964,0.006866,0.1946,5.699,22073,Organic Yellow Onion,Organic Garlic
24964,22935,0.006866,0.2011,5.699,22073,Organic Garlic,Organic Yellow Onion
47626,26209,0.008524,0.1795,4.1037,27403,Large Lemon,Limes
26209,47626,0.008524,0.1949,4.1037,27403,Limes,Large Lemon
5876,47209,0.006609,0.2421,3.6446,21246,Organic Lemon,Organic Hass Avocado
30391,47209,0.00543,0.2171,3.2683,17456,Organic Cucumber,Organic Hass Avocado
27966,21137,0.010533,0.2471,3.001,33863,Organic Raspberries,Organic Strawberries
21137,27966,0.010533,0.1279,3.001,33863,Organic Strawberries,Organic Raspberries
47626,47766,0.007595,0.1599,2.9082,24417,Large Lemon,Organic Avocado
47766,47626,0.007595,0.1381,2.9082,24417,Organic Avocado,Large Lemon
39275,21137,0.007389,0.2374,2.8837,23756,Organic Blueberries,Organic Strawberries
47766,26209,0.006846,0.1245,2.8457,22010,Organic Avocado,Limes
26209,47766,0.006846,0.1565,2.8457,22010,Limes,Organic Avocado
47209,27966,0.008023,0.1208,2.8327,25793,Organic Hass Avocado,Organic Raspberries
27966,47209,0.008023,0.1882,2.8327,25793,Organic Raspberries,Organic Hass Avocado
22935,47209,0.006198,0.1757,2.6444,19927,Organic Yellow Onion,Organic Hass Avocado
19057,13176,0.007267,0.3108,2.6335,23364,Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas
45007,21903,0.00635,0.1948,2.5881,20415,Organic Zucchini,Organic Baby Spinach
28204,24852,0.010558,0.3787,2.5763,33943,Organic Fuji Apple,Banana
24964,21903,0.006531,0.1913,2.5416,20996,Organic Garlic,Organic Baby Spinach
27966,13176,0.012599,0.2955,2.5038,40503,Organic Raspberries,Bag of Organic Bananas
13176,27966,0.012599,0.1067,2.5038,40503,Bag of Organic Bananas,Organic Raspberries
30391,21137,0.00515,0.2059,2.5012,16555,Organic Cucumber,Organic Strawberries
47209,13176,0.019391,0.2919,2.4729,62341,Organic Hass Avocado,Bag of Organic Bananas
13176,47209,0.019391,0.1643,2.4729,62341,Bag of Organic Bananas,Organic Hass Avocado
24964,47209,0.005505,0.1612,2.4265,17697,Organic Garlic,Organic Hass Avocado
45066,24852,0.008836,0.3561,2.4228,28408,Honeycrisp Apple,Banana
45007,47209,0.005121,0.1571,2.3641,16464,Organic Zucchini,Organic Hass Avocado
8277,13176,0.007371,0.2787,2.3614,23696,Apple Honeycrisp Organic,Bag of Organic Bananas
