order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,is_first_order
1187899,1,train,11,4,8,14.0,0
1492625,2,train,15,1,11,30.0,0
2196797,5,train,5,0,11,6.0,0
525192,7,train,21,2,11,6.0,0
880375,8,train,4,1,14,10.0,0
1094988,9,train,4,6,10,30.0,0
1822501,10,train,6,0,19,30.0,0
1827621,13,train,13,0,21,8.0,0
2316178,14,train,14,2,19,11.0,0
2180313,17,train,41,3,10,30.0,0
2461523,18,train,7,6,9,7.0,0
1854765,21,train,34,1,12,28.0,0
3402036,23,train,5,1,12,30.0,0
965160,24,train,19,0,16,0.0,0
2614670,27,train,82,5,14,4.0,0
3110252,29,train,19,4,11,13.0,0
62370,30,train,9,2,13,22.0,0
698604,34,train,6,4,13,30.0,0
1524161,37,train,24,0,13,16.0,0
3173750,38,train,13,0,9,30.0,0
2032076,41,train,6,0,20,30.0,0
2803975,42,train,17,0,11,14.0,0
1864787,43,train,12,5,11,26.0,0
2436259,44,train,4,0,12,30.0,0
1947848,46,train,20,4,20,11.0,0
2906490,47,train,6,4,22,16.0,0
2924697,48,train,11,5,18,14.0,0
519514,49,train,9,4,12,2.0,0
1750084,50,train,68,3,9,7.0,0
1647290,52,train,28,4,16,3.0,0
3088145,53,train,4,2,10,13.0,0
39325,55,train,8,2,18,30.0,0
13318,56,train,13,1,9,6.0,0
1651215,59,train,11,0,12,10.0,0
1019719,62,train,11,2,12,29.0,0
2989905,63,train,40,6,8,13.0,0
2639013,64,train,11,0,13,27.0,0
1072954,65,train,15,6,17,30.0,0
34647,66,train,7,3,19,23.0,0
2757217,67,train,25,0,11,5.0,0
669729,70,train,14,5,12,30.0,0
3038639,71,train,24,5,13,17.0,0
2608424,72,train,13,2,14,30.0,0
482516,74,train,6,4,7,10.0,0
3294399,76,train,10,4,8,14.0,0
1700658,78,train,7,6,11,7.0,0
21708,79,train,8,0,6,30.0,0
2178718,80,train,13,2,8,8.0,0
1734166,81,train,8,5,18,8.0,0
859654,82,train,20,1,10,13.0,0
2424438,83,train,7,2,16,30.0,0
2276967,84,train,9,0,13,14.0,0
613340,86,train,18,6,12,6.0,0
1855447,87,train,28,3,17,8.0,0
3081445,88,train,8,3,18,23.0,0
2222431,89,train,21,6,18,6.0,0
1318796,90,train,72,5,9,2.0,0
637547,91,train,16,1,10,11.0,0
1179185,93,train,15,1,10,5.0,0
1227088,95,train,9,5,12,21.0,0
531345,96,train,17,1,11,30.0,0
3178964,97,train,6,6,19,6.0,0
1289863,99,train,19,2,11,22.0,0
2591641,102,train,7,0,20,30.0,0
926418,103,train,18,2,14,20.0,0
2364180,104,train,6,4,10,10.0,0
2298088,105,train,8,3,10,30.0,0
2549875,106,train,4,6,13,8.0,0
515014,108,train,8,6,15,6.0,0
1997693,109,train,7,1,11,21.0,0
72069,110,train,21,1,10,6.0,0
3105153,111,train,8,4,11,4.0,0
3032922,112,train,27,2,18,6.0,0
1645824,113,train,6,5,17,30.0,0
2759030,114,train,5,0,10,2.0,0
2618023,115,train,13,1,18,15.0,0
878518,116,train,7,5,12,4.0,0
1438423,117,train,12,0,18,4.0,0
1248129,118,train,28,1,7,30.0,0
461193,119,train,4,0,14,30.0,0
961032,120,train,4,2,9,30.0,0
2652217,121,train,11,3,6,21.0,0
1721370,123,train,11,0,11,0.0,0
2733614,124,train,9,1,8,21.0,0
1543042,125,train,14,1,19,11.0,0
1095948,128,train,12,4,16,4.0,0
2437480,130,train,4,3,12,12.0,0
2106151,131,train,10,0,9,18.0,0
2887138,132,train,25,0,12,5.0,0
3001617,135,train,5,0,17,17.0,0
455775,138,train,33,6,12,1.0,0
2233425,139,train,5,2,11,30.0,0
2560500,140,train,77,4,21,2.0,0
2696946,142,train,46,6,17,2.0,0
1993128,143,train,15,6,11,8.0,0
242208,144,train,8,2,12,12.0,0
3395341,145,train,9,2,17,30.0,0
673776,146,train,41,2,19,25.0,0
318441,147,train,14,0,11,30.0,0
3348216,148,train,8,5,23,27.0,0
1575396,150,train,32,6,14,20.0,0
1897207,155,train,23,1,0,9.0,0
3294802,157,train,5,0,14,4.0,0
2133144,160,train,13,0,17,13.0,0
3123006,161,train,21,0,15,20.0,0
2564128,163,train,12,1,23,11.0,0
2608262,164,train,11,4,9,19.0,0
2742787,167,train,6,0,11,7.0,0
767489,169,train,7,2,12,30.0,0
1500681,171,train,7,0,15,8.0,0
2060922,173,train,45,2,9,15.0,0
537105,174,train,28,6,11,9.0,0
1505214,175,train,24,3,9,7.0,0
2433199,176,train,7,6,16,19.0,0
3412247,178,train,6,2,9,7.0,0
1464402,179,train,6,1,20,15.0,0
1007973,183,train,5,6,14,19.0,0
3362166,184,train,12,6,12,30.0,0
2887658,185,train,7,2,11,30.0,0
475324,187,train,33,5,15,3.0,0
2715293,189,train,12,4,18,2.0,0
1308123,191,train,5,1,15,5.0,0
3155162,192,train,6,1,12,30.0,0
1962299,193,train,6,4,10,14.0,0
1458129,195,train,59,4,11,6.0,0
739987,197,train,21,6,16,2.0,0
3048264,198,train,6,2,13,8.0,0
2066158,199,train,4,6,10,30.0,0
2780124,201,train,8,6,12,23.0,0
2897229,203,train,4,0,15,30.0,0
1447810,204,train,59,6,13,17.0,0
2177938,205,train,13,2,18,30.0,0
307237,206,train,29,4,10,13.0,0
1706500,208,train,19,6,18,18.0,0
1826981,209,train,20,1,13,27.0,0
3176785,210,train,100,1,12,5.0,0
2708761,211,train,5,0,13,8.0,0
3084045,212,train,13,0,0,2.0,0
2477435,213,train,6,1,15,30.0,0
3053806,214,train,28,6,21,30.0,0
75622,215,train,6,4,8,29.0,0
1131395,217,train,12,6,12,30.0,0
1841249,218,train,7,3,13,7.0,0
1902701,219,train,34,6,15,14.0,0
1848434,220,train,17,3,4,30.0,0
1789152,222,train,71,5,10,3.0,0
180627,223,train,50,1,8,7.0,0
2041929,224,train,4,2,10,13.0,0
2615515,226,train,22,4,21,30.0,0
568023,229,train,18,5,22,4.0,0
382581,230,train,11,5,7,30.0,0
2499603,231,train,4,6,2,16.0,0
1179928,235,train,22,5,13,5.0,0
1016866,238,train,7,4,16,14.0,0
2941534,239,train,6,0,2,6.0,0
688931,240,train,6,3,9,20.0,0
2193979,242,train,17,6,14,7.0,0
2698993,243,train,28,0,10,20.0,0
2624849,245,train,6,1,22,20.0,0
142062,249,train,10,4,22,3.0,0
524863,250,train,12,6,14,20.0,0
2298194,252,train,5,6,11,30.0,0
2727415,253,train,4,5,12,3.0,0
2008056,255,train,5,0,23,29.0,0
961500,256,train,19,0,11,28.0,0
1056167,258,train,25,6,12,26.0,0
1976038,259,train,4,6,11,30.0,0
3227316,260,train,18,4,11,30.0,0
1162736,261,train,9,3,17,4.0,0
1905437,262,train,46,0,22,3.0,0
2383385,264,train,30,3,9,8.0,0
1665716,267,train,10,6,11,30.0,0
676206,270,train,23,6,18,30.0,0
985905,271,train,16,2,13,3.0,0
2662084,272,train,10,4,13,16.0,0
2014989,273,train,20,0,20,13.0,0
3411419,278,train,69,2,13,2.0,0
3059590,280,train,42,1,6,8.0,0
445784,282,train,4,5,18,2.0,0
145016,283,train,6,1,12,3.0,0
3261724,284,train,17,2,11,13.0,0
78426,285,train,5,5,8,14.0,0
3529,286,train,4,4,9,19.0,0
1184332,288,train,4,6,14,20.0,0
1473392,289,train,50,4,14,14.0,0
1374681,291,train,5,2,12,17.0,0
2692535,293,train,9,1,16,30.0,0
1911431,294,train,16,0,12,30.0,0
405264,295,train,24,2,14,8.0,0
208213,296,train,7,3,12,4.0,0
1979266,298,train,4,3,14,16.0,0
1546561,300,train,39,4,18,5.0,0
540284,304,train,43,5,19,6.0,0
1940141,305,train,5,1,15,30.0,0
1957838,306,train,25,1,8,14.0,0
2600069,309,train,26,4,13,1.0,0
988,310,train,100,2,9,4.0,0
2956359,313,train,100,1,6,4.0,0
877974,314,train,6,4,11,30.0,0
3072356,315,train,5,3,23,24.0,0
1640076,317,train,5,0,17,6.0,0
1054904,319,train,9,0,18,2.0,0
1684761,322,train,15,0,17,21.0,0
3012300,323,train,72,1,12,4.0,0
1215744,324,train,12,6,12,30.0,0
39637,325,train,8,6,13,6.0,0
2560537,326,train,6,3,15,27.0,0
1331374,327,train,64,1,15,3.0,0
3174585,328,train,13,2,11,27.0,0
1606411,329,train,9,0,19,14.0,0
2147369,330,train,8,3,17,6.0,0
1751465,334,train,64,1,20,2.0,0
3077453,337,train,13,1,17,30.0,0
1430705,340,train,6,6,10,14.0,0
281630,341,train,12,1,11,30.0,0
107908,342,train,17,4,7,30.0,0
1841063,343,train,5,5,15,10.0,0
1652713,345,train,4,2,9,19.0,0
980530,346,train,7,6,20,30.0,0
563865,348,train,29,3,3,7.0,0
959285,349,train,8,1,8,5.0,0
1989223,350,train,15,0,12,7.0,0
2898937,351,train,15,0,20,9.0,0
2143540,353,train,12,6,13,30.0,0
3081810,355,train,14,6,16,30.0,0
2376514,357,train,9,5,9,10.0,0
394279,358,train,8,1,17,30.0,0
2908855,359,train,16,1,15,6.0,0
15694,361,train,7,3,15,2.0,0
607923,363,train,13,1,13,10.0,0
2942881,365,train,16,0,12,7.0,0
461187,370,train,28,5,17,30.0,0
174574,371,train,4,1,15,20.0,0
1682739,372,train,13,6,22,30.0,0
1412429,374,train,17,1,14,14.0,0
811612,375,train,8,1,13,30.0,0
960774,376,train,9,6,12,30.0,0
1558843,377,train,4,3,18,30.0,0
2721521,378,train,9,2,17,27.0,0
2294073,379,train,20,2,16,30.0,0
2385890,380,train,13,6,14,3.0,0
14172,382,train,30,4,17,10.0,0
3206948,383,train,10,5,11,30.0,0
2057992,384,train,10,4,13,16.0,0
280751,385,train,5,0,11,30.0,0
1910258,387,train,9,4,10,30.0,0
2294856,390,train,23,6,17,20.0,0
2328904,391,train,24,1,16,29.0,0
36665,393,train,11,4,13,27.0,0
3163411,395,train,4,3,18,30.0,0
445900,396,train,19,1,6,30.0,0
2950974,399,train,4,1,15,18.0,0
2534943,401,train,5,5,10,5.0,0
3014378,402,train,5,0,12,4.0,0
3159731,403,train,33,1,13,8.0,0
592291,404,train,7,2,14,24.0,0
1732187,406,train,5,2,13,5.0,0
1392440,409,train,87,1,9,7.0,0
2050098,411,train,12,1,18,30.0,0
1048290,412,train,5,4,17,20.0,0
1363964,414,train,4,4,16,20.0,0
2070379,416,train,4,1,7,30.0,0
1560176,417,train,10,3,15,14.0,0
1449813,419,train,25,1,12,21.0,0
437145,421,train,4,1,12,30.0,0
1902284,425,train,8,5,9,21.0,0
1643238,426,train,14,2,12,30.0,0
1899614,429,train,30,4,14,16.0,0
2608193,430,train,9,6,14,6.0,0
539212,431,train,10,5,10,7.0,0
488785,432,train,53,0,19,7.0,0
3194530,433,train,6,3,18,22.0,0
484245,434,train,5,0,14,8.0,0
1101383,435,train,14,0,15,14.0,0
2236871,437,train,20,3,13,14.0,0
2029736,438,train,12,5,14,10.0,0
1454689,441,train,15,3,22,25.0,0
2623337,442,train,13,3,11,9.0,0
113754,444,train,43,5,10,7.0,0
1848722,446,train,9,6,16,30.0,0
1110720,448,train,34,6,22,6.0,0
3244965,449,train,22,4,18,1.0,0
1439514,452,train,25,0,20,19.0,0
1881413,453,train,14,1,9,21.0,0
2769206,454,train,55,3,14,7.0,0
